Reference, Quantity, Value, Footprint, Datasheet, Part Number, Manufacturer, Vendor, Vendor Part Number, Tolerance, Voltage
C1 C14 C2 ,3,"0.1uF","Capacitors_SMD:C_0603","","GCJ188R71E104KA2D","Murata","Mouser","81-GCJ188R71E104KA2D","10%","25V"
C3 C4 ,2,"330uF","Capacitors_SMD:CP_Elec_10x10.5","","EEE-FT1H331GP","Panasonic","Mouser","667-EEE-FT1H331GP","20%","50V"
C10 C12 C5 C6 C8 ,5,"1uF","Capacitors_SMD:C_0603","","GCJ188R71E105KA01D","Murata","Mouser","81-GCJ188R71E105KA1D","10%","25V"
C11 C13 C7 C9 ,4,"2.2uF","Capacitors_SMD:C_1210","","GCJ32DR72A225KA01L","Murata","Mouser","81-GCJ32DR72A225KA1L","10%","100V"
D1 ,1,"D_Bridge_+-AA","Diodes_SMD:Diode_Bridge_DFS","https://www.mouser.com/ds/2/80/DF2005S-G%20Thru340567.%20DF210S-G%20RevF-535444.pdf","DF206ST-G","Comchip Tech","Mouser","750-DF206ST-G","",""
D2 D3 D4 D5 ,4,"DFLS2100","Diodes_SMD:D_PowerDI-123","https://www.diodes.com/assets/Datasheets/ds31475.pdf","DFLS2100-7","Diodes Inc","Mouser","621-DFLS2100-7","",""
J1 ,1,"RPi_GPIO","raspberry-ml:Pin_Header_Straight_2x20","","2222","Adafruit","Mouser","485-2222","",""
J2 J3 J4 J5 J6 ,5,"Conn_01x02_Female","holes-ml:TH_16ga_2pos",""
L1 L2 L3 L4 ,4,"100uH","inductors-ml:WE-PD-1050","","7447714101","Wurth","Mouser","710-7447714101","",""
Q1 ,1,"DMG2305UX","TO_SOT_Packages_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/DMG2305UX.pdf","DMG2305UX-7","Diodes Inc","Mouser","621-DMG2305UX-7","",""
Q2 ,1,"BCM857BS","TO_SOT_Packages_SMD:SOT-363_SC-70-6","https://www.diodes.com/assets/Datasheets/BCM857BS.pdf","BCM857BS-7-F","Diodes Inc","Mouser","621-BCM857BS-7-F","",""
R1 ,1,"1k","Resistors_SMD:R_0603","","ERJ-3EKF1001V","Panasonic","Mouser","667-ERJ-3EKF1001V","1%",""
R14 ,1,"4.7k","Resistors_SMD:R_0603","","ERJ-3EKF4701V","Panasonic","Mouser","667-ERJ-3EKF4701V","1%",""
R2 R3 ,2,"3.9k","Resistors_SMD:R_0603","","ERJ-3EKF3901V","Panasonic","Mouser","667-ERJ-3EKF3901V","1%",""
R4 ,1,"10k","Resistors_SMD:R_0603","","ERJ-3EKF1002V","Panasonic","Mouser","667-ERJ-3EKF1002V","1%",""
R5 ,1,"47k","Resistors_SMD:R_0603","","ERJ-3EKF4702V","Panasonic","Mouser","667-ERJ-3EKF4702V","1%",""
R10 R12 R6 R8 ,4,"40.2k","Resistors_SMD:R_0603","","ERJ-3EKF4022V","Panasonic","Mouser","667-ERJ-3EKF4022V","1%",""
R11 R13 R7 R9 ,4,"5.76k","Resistors_SMD:R_0603","","ERJ-3EKF5761V","Panasonic","Mouser","667-ERJ-3EKF5761V","1%",""
SW1 ,1,"Write","Buttons_Switches_SMD:SW_SPST_B3U-1000P","http://www.mouser.com/ds/2/307/en-b3u-3615.pdf","B3U-1000P","Omron","Mouser","653-B3U-1000P","",""
U1 ,1,"AT24CS32","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","http://www.atmel.com/images/Atmel-8869-SEEPROM-AT24CS32-Datasheet.pdf","AT24CS32-SSHM","Atmel","Mouser","556-AT24CS32-SSHM-T","",""
U2 ,1,"PCA9685","Housings_SSOP:TSSOP-28_4.4x9.7mm_Pitch0.65mm","","PCA9685PW","NXP","Mouser","771-PCA9685PW,112","",""
U3 ,1,"OKI-78SR-5","murata-ml:78SR-H","","OKI-78SR-5/1.5-W36H-C","Murata","Mouser","580-OKI78SR51.5W36HC","",""
U4 U5 U6 U7 ,4,"LM3414","Housings_SOIC:TI_SO-PowerPAD-8_ThermalVias","","LM3414MRX/NOPB","TI","Mouser","926-LM3414MRX/NOPB","",""
U8 ,1,"DS18B20U","Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm","https://datasheets.maximintegrated.com/en/ds/DS18B20.pdf","DS18B20U+","Maxim","Mouser","700-DS18B20U","",""
